STRUCTURE,STRUCTUREID,STRUCTUREFULLNAME,STRUCTURECOLOR,STRUCTUREREGION,STRUCTUREREGIONCOLOR,CLUSTER
CoPL,16591,lateral part of CoP,FFE524,Rest Forebrain,C86A39,1
CoPLv,16592,ventricular zone of CoPL,FFE524,Rest Forebrain,C86A39,1
CoPLm,16593,mantle zone of CoPL,F4E35F,Rest Forebrain,C86A39,1
CoPLp,16594,periventricular stratum of CoPL,F4E35F,Rest Forebrain,C86A39,1
CoPL-PAG,16595,CoPL part of the periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
CoPLi,16596,intermediate stratum of CoPL,F4E35F,Rest Forebrain,C86A39,1
PCPC,16597,parvicellular interstitial nucleus of the posterior commissure,F4E35F,Rest Forebrain,C86A39,1
IPT,16598,intermediate pretectal nucleus,F4E35F,Rest Forebrain,C86A39,1
CoPLRt,16599,reticular formation of CoPL,F4E35F,Rest Forebrain,C86A39,1
CoPLs,16600,superficial stratum of CoPL,F4E35F,Rest Forebrain,C86A39,1
LTL,16601,lateral terminal nucleus of the accessory optic tract- lateral part,F4E35F,Rest Forebrain,C86A39,1
CoPV,16602,ventral part of CoP,FFE524,Rest Forebrain,C86A39,1
CoPVm,16604,mantle zone of CoPV,F4E35F,Rest Forebrain,C86A39,1
CoPVp,16605,periventricular stratum of CoPV,F4E35F,Rest Forebrain,C86A39,1
CoPV-PAG,16606,CoPV part of the periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
CoPVi,16607,intermediate stratum of CoPV,F4E35F,Rest Forebrain,C86A39,1
SPT,16608,subpretectal nucleus,F4E35F,Rest Forebrain,C86A39,1
MCPC,16609,magnocellular interstitial nucleus of the posterior commissure,F4E35F,Rest Forebrain,C86A39,1
CoPVs,16610,superficial stratum of CoPV,F4E35F,Rest Forebrain,C86A39,1
LTV,16611,lateral terminal nucleus of the accessory optic tract- ventral part,F4E35F,Rest Forebrain,C86A39,1
p1AVL,16612,ventrolateral part of alar p1,FFE524,Rest Forebrain,C86A39,1
p1Lim,16613,liminal part of alar p1,FFE524,Rest Forebrain,C86A39,1
p1Limv,16614,ventricular zone of p1Lim,FFE524,Rest Forebrain,C86A39,1
p1Limm,16615,mantle zone of p1Lim,F4E35F,Rest Forebrain,C86A39,1
p1Limp,16616,periventricular stratum of p1Lim,F4E35F,Rest Forebrain,C86A39,1
p1Lim-PAG,16617,p1Lim part of periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
p1Limi,16618,intermediate stratum of p1Lim,F4E35F,Rest Forebrain,C86A39,1
p1LimRt,16619,reticular formation of p1Lim,F4E35F,Rest Forebrain,C86A39,1
p1Lims,16621,superficial stratum of p1Lim,F4E35F,Rest Forebrain,C86A39,1
M,16649,midbrain,17B317,Rest Midbrain,17B317,1
m1,16650,mesomere 1,17B317,Rest Midbrain,17B317,1
MTt,16651,collicular (rostral) midbrain tectum,17B317,Rest Midbrain,17B317,1
m1A,16658,alar plate of m1,17B317,Rest Midbrain,17B317,1
m1ADL,16668,dorsolateral part of m1A,17B317,Rest Midbrain,17B317,1
TG,16669,tectal gray formation,17B317,Rest Midbrain,17B317,1
TGv,16670,ventricular zone of TG,17B317,Rest Midbrain,17B317,1
TGm,16671,mantle zone of TG,4EC54E,Rest Midbrain,17B317,1
TGp,16672,periventricular stratum of TG,4EC54E,Rest Midbrain,17B317,1
TGDL-PAG,16673,dorsolateral TG part of the periaqueductal gray,4EC54E,Rest Midbrain,17B317,1
TGi,16674,intermediate stratum of TG,4EC54E,Rest Midbrain,17B317,1
TGC,16675,central layers of TG,4EC54E,Rest Midbrain,17B317,1
TGs,16676,superficial stratum of TG,4EC54E,Rest Midbrain,17B317,1
TGS,16677,superficial layers of TG,4EC54E,Rest Midbrain,17B317,1
SC,16678,colliculus superior,17B317,Rest Midbrain,17B317,1
SCv,16679,ventricular zone of SC,17B317,Rest Midbrain,17B317,1
SCm,16680,mantle zone of SC,4EC54E,Rest Midbrain,17B317,1
SCi,16684,intermediate stratum of SC,4EC54E,Rest Midbrain,17B317,1
InWh,16686,intermediate white layer of SC,4EC54E,Rest Midbrain,17B317,1
InG,16687,intermediate gray layer of SC,4EC54E,Rest Midbrain,17B317,1
SCs,16688,superficial stratum of SC,4EC54E,Rest Midbrain,17B317,1
Op,16689,optic fiber layer of SC,4EC54E,Rest Midbrain,17B317,1
SuG,16690,superficial gray layer of SC,4EC54E,Rest Midbrain,17B317,1
Zo,16691,zonal layer of SC,4EC54E,Rest Midbrain,17B317,1
IC,16692,inferior colliculus,17B317,Rest Midbrain,17B317,1
ICv,16693,ventricular zone of IC,17B317,Rest Midbrain,17B317,1
ICm,16694,mantle zone of IC,4EC54E,Rest Midbrain,17B317,1
ICi,16697,intermediate stratum of IC,4EC54E,Rest Midbrain,17B317,1
CIC,16698,central nucleus of the inferior colliculus,4EC54E,Rest Midbrain,17B317,1
ICs,16699,superficial stratum of IC,4EC54E,Rest Midbrain,17B317,1
DCIC,16701,dorsal cortical nucleus of inferior colliculus,4EC54E,Rest Midbrain,17B317,1
ECIC,16702,external cortical nucleus of inferior colliculus,4EC54E,Rest Midbrain,17B317,1
m1AVL,16716,ventrolateral part of alar m1,17B317,Rest Midbrain,17B317,1
m1Lim,16717,liminal alar domain of m1,17B317,Rest Midbrain,17B317,1
m1Limv,16718,ventricular zone of m1Lim,17B317,Rest Midbrain,17B317,1
m1Limm,16719,mantle zone of m1Lim,4EC54E,Rest Midbrain,17B317,1
m1Limp,16720,periventricular stratum of m1Lim,4EC54E,Rest Midbrain,17B317,1
m1Lim-PAG,16721,m1Lim (VL) part of the periaqueductal gray,4EC54E,Rest Midbrain,17B317,1
m1Limi,16722,intermediate stratum of m1Lim,4EC54E,Rest Midbrain,17B317,1
m1LimRt,16723,m1Lim part of the midbrain reticular formation,4EC54E,Rest Midbrain,17B317,1
m1Lims,16724,superficial stratum of m1Lim,4EC54E,Rest Midbrain,17B317,1
m2,16751,mesomere 2 (preisthmus or caudal midbrain),00D100,Rest Midbrain,17B317,1
PIsTt,16752,preisthmic midbrain tectum,00D100,Rest Midbrain,17B317,1
m2R,16753,m2 roof,93EC93,Rest Midbrain,17B317,1
m2Rv,112892285,ventricular zone of m2R,61E361,Rest Midbrain,17B317,1
m2Rm,112892287,mantle zone of m2R,93EC93,Rest Midbrain,17B317,1
m2Rp,112892289,periventricular stratum of m2R,93EC93,Rest Midbrain,17B317,1
m2Ri,112892291,intermediate stratum of m2R,93EC93,Rest Midbrain,17B317,1
m2Rs,112892293,superficial stratum of m2R,93EC93,Rest Midbrain,17B317,1
m2A,16754,m2 alar plate,00D100,Rest Midbrain,17B317,1
m2AD,16755,dorsal part of m2A,00D100,Rest Midbrain,17B317,1
m2ADv,16756,ventricular zone of m2AD,00D100,Rest Midbrain,17B317,1
m2ADm,16757,mantle zone of m2AD,61E361,Rest Midbrain,17B317,1
m2ADp,16758,periventricular stratum of m2AD,61E361,Rest Midbrain,17B317,1
m2ADi,16760,intermediate stratum of m2AD,61E361,Rest Midbrain,17B317,1
m2ADs,16761,superficial stratum of m2AD,61E361,Rest Midbrain,17B317,1
m2ADL,16762,dorsolateral part of m2A,00D100,Rest Midbrain,17B317,1
m2ADLm,16764,mantle zone of m2ADL,61E361,Rest Midbrain,17B317,1
m2ADLp,16765,periventricular stratum of m2ADL,61E361,Rest Midbrain,17B317,1
PIsDL-PAG,16766,dorsolateral preisthmic part of periaqueductal gray,61E361,Rest Midbrain,17B317,1
m2ADLi,16767,intermediate stratum of m2ADL,61E361,Rest Midbrain,17B317,1
SagD,16768,nucleus sagulum- deep part,61E361,Rest Midbrain,17B317,1
m2ADLs,16769,superficial stratum of m2ADL,61E361,Rest Midbrain,17B317,1
SagS,16770,nucleus sagulum- superficial part,61E361,Rest Midbrain,17B317,1
m2AL,16771,lateral part of m2A,00D100,Rest Midbrain,17B317,1
m2ALv,16772,ventricular zone of m2AL,00D100,Rest Midbrain,17B317,1
m2ALm,16773,mantle zone of m2AL,61E361,Rest Midbrain,17B317,1
m2ALp,16774,periventricular stratum of m2AL,61E361,Rest Midbrain,17B317,1
PIsL-PAG,16775,lateral part of preisthmic periaqueductal gray,61E361,Rest Midbrain,17B317,1
m2ALi,16776,intermediate stratum of m2AL,61E361,Rest Midbrain,17B317,1
CnF,16777,cuneiform nucleus,61E361,Rest Midbrain,17B317,1
m2ALs,16778,superficial stratum of m2AL,61E361,Rest Midbrain,17B317,1
m2AVL,16780,ventrolateral part of m2A,00D100,Rest Midbrain,17B317,1
m2Lim,16781,liminal alar domain of m2,00D100,Rest Midbrain,17B317,1
m2Limm,16783,mantle zone of m2Lim,61E361,Rest Midbrain,17B317,1
m2Limp,16784,periventricular stratum of m2Lim,61E361,Rest Midbrain,17B317,1
m2Lim-PAG,16785,liminal periaqueductal gray of m2,61E361,Rest Midbrain,17B317,1
m2Limi,16786,intermediate stratum of m2Lim,61E361,Rest Midbrain,17B317,1
SCnF,16787,subcuneiform nucleus,61E361,Rest Midbrain,17B317,1
m2LimRt,16788,liminal reticular formation of m2,61E361,Rest Midbrain,17B317,1
m2Lims,16789,superficial stratum of m2Lim,61E361,Rest Midbrain,17B317,1
isR,16811,isthmic roof plate,F38BFF,Cerebellum,EA37FF,1
isRv,16812,ventricular zone of isR,F070FF,Cerebellum,EA37FF,1
isRm,114403715,mantle zone of isR,F38BFF,Cerebellum,EA37FF,1
isRi,114403723,intermediate stratum of isR,F38BFF,Cerebellum,EA37FF,1
isRs,114403727,superficial stratum of isR,F38BFF,Cerebellum,EA37FF,1
isVeCb,16827,isthmic vestibulocerebellar nucleus,F070FF,Cerebellum,EA37FF,1
isADL,16843,dorsolateral (non-cerebellar) part of isA,EA37FF,Cerebellum,EA37FF,1
isADLv,111220612,ventricular zone of isADL,EA37FF,Cerebellum,EA37FF,1
isADLm,111220614,mantle zone of isADL,F070FF,Cerebellum,EA37FF,1
isADLp,112892309,periventricular stratum of isADL,F070FF,Cerebellum,EA37FF,1
isADLi,112892311,intermediate stratum of isADL,F070FF,Cerebellum,EA37FF,1
isADLs,112892313,superficial stratum of isADL,F070FF,Cerebellum,EA37FF,1
PBC,16844,parabrachial complex,EA37FF,Cerebellum,EA37FF,1
PBm,16846,mantle zone of the PBC,F070FF,Cerebellum,EA37FF,1
PBp,16847,periventricular stratum of the PBC,F070FF,Cerebellum,EA37FF,1
PB-PAG,16848,parabrachial part of the periaqueductal gray,F070FF,Cerebellum,EA37FF,1
PBi,16849,intermediate stratum of the PBC,F070FF,Cerebellum,EA37FF,1
MPB,16850,medial parabrachial nucleus,F070FF,Cerebellum,EA37FF,1
PBs,16851,superficial stratum of the PBC,F070FF,Cerebellum,EA37FF,1
LPB,16852,lateral parabrachial nucleus,F070FF,Cerebellum,EA37FF,1
KF,16853,Koelliker-Fuse nucleus,F070FF,Cerebellum,EA37FF,1
Ist,16854,isthmus proper,EA37FF,Cerebellum,EA37FF,1
Istm,16856,mantle zone of Ist,F070FF,Cerebellum,EA37FF,1
Istp,16857,periventricular stratum of Ist,F070FF,Cerebellum,EA37FF,1
Ist-PAG,16858,isthmic part of the periaqueductal gray,F070FF,Cerebellum,EA37FF,1
Isti,16859,intermediate stratum of Ist,F070FF,Cerebellum,EA37FF,1
DLL,16860,dorsal nucleus of the lateral lemniscus,F070FF,Cerebellum,EA37FF,1
Ists,16861,superficial stratum of Ist,F070FF,Cerebellum,EA37FF,1
PBG,16862,parabigeminal nucleus,F070FF,Cerebellum,EA37FF,1
PeLA,16863,perilemniscal isthmic area,F070FF,Cerebellum,EA37FF,1
isAVL,16864,ventrolateral part of isA,EA37FF,Cerebellum,EA37FF,1
isLim,16865,liminal part of alar isthmus,EA37FF,Cerebellum,EA37FF,1
isLimv,16866,ventricular zone of isLim,EA37FF,Cerebellum,EA37FF,1
isLimm,16867,mantle zone of isLim,F070FF,Cerebellum,EA37FF,1
isLimp,16868,periventricular stratum of isLim,F070FF,Cerebellum,EA37FF,1
isLim-PAG,16869,isthmic liminal part of the periaqueductal gray,F070FF,Cerebellum,EA37FF,1
isMes5,16870,isthmic part of mesencephalic trigeminal nucleus,F070FF,Cerebellum,EA37FF,1
isLimi,16871,intermediate stratum of isLim,F070FF,Cerebellum,EA37FF,1
isLimRt,16873,isthmic liminal reticular area,F070FF,Cerebellum,EA37FF,1
isLims,16874,superficial stratum of isLim,F070FF,Cerebellum,EA37FF,1
isILL,16875,isthmic part of the intermediate lateral lemniscal nucleus,F070FF,Cerebellum,EA37FF,1
isPaL,16886,paralemniscal isthmic area,F070FF,Cerebellum,EA37FF,1
r1Lim,16959,liminal part of alar r1,EE5DFF,Rest Hindbrain,EA37FF,1
r1Limv,16960,ventricular zone of r1Lim,EE5DFF,Rest Hindbrain,EA37FF,1
r1Limm,16961,mantle zone of r1Lim,F284FF,Rest Hindbrain,EA37FF,1
r1Limp,111220636,periventricular stratum of r1Lim,F284FF,Rest Hindbrain,EA37FF,1
LDTg,16964,laterodorsal tegmental nucleus,F284FF,Rest Hindbrain,EA37FF,1
r1Mes5,16966,r1 part of the 'mesencephalic' trigeminal nucleus,F284FF,Rest Hindbrain,EA37FF,1
r1Lims,111220640,superficial stratum of r1Lim,F284FF,Rest Hindbrain,EA37FF,1
r8R,17417,r8 roof plate,81E4D1,Rest Hindbrain,EA37FF,1
 ,, , , , ,
RSP,15568,rostral secondary prosencephalon,A84D10,Hypothalamus,A84D10,2
AVPe,15591,anteroventral periventricular preoptic nucleus,B46632,Hypothalamus,A84D10,2
PO1s,15597,superficial stratum of PO1,B46632,Hypothalamus,A84D10,2
DMPAs,15598,dorsomedial preoptic area- superficial part,B46632,Hypothalamus,A84D10,2
PO2s,15610,superficial stratum of PO2,B46632,Hypothalamus,A84D10,2
VMPO,15611,ventromedial preoptic nucleus,B46632,Hypothalamus,A84D10,2
VLPO,15612,ventrolateral preoptic nucleus,B46632,Hypothalamus,A84D10,2
POHs,15620,superficial stratum of POH,B46632,Hypothalamus,A84D10,2
ESO,15621,episupraoptic nucleus,B46632,Hypothalamus,A84D10,2
THy,15622,terminal hypothalamus (rostral hypothalamus),A8663A,Hypothalamus,A84D10,2
THyA,15623,alar part of terminal hypothalamus,A8663A,Hypothalamus,A84D10,2
TPaA,15624,terminal paraventricular area of THyA,A8663A,Hypothalamus,A84D10,2
TPaAv,15625,ventricular zone of TPaA,A8663A,Hypothalamus,A84D10,2
TPaAm,15626,mantle zone of TPaA,B0754D,Hypothalamus,A84D10,2
TPaAp,15627,periventricular stratum of TPaA,B0754D,Hypothalamus,A84D10,2
RPa,15628,rostral paraventricular nucleus,B0754D,Hypothalamus,A84D10,2
LA,15630,lateral anterior hypothalamic nucleus,B0754D,Hypothalamus,A84D10,2
TPaAs,15632,superficial stratum of TPaA,B0754D,Hypothalamus,A84D10,2
SO,15633,supraoptic nucleus,B0754D,Hypothalamus,A84D10,2
TSPaA,15653,terminal subparaventricular area of THyA,A8663A,Hypothalamus,A84D10,2
TSPaAv,15654,ventricular zone of TSPaA,A8663A,Hypothalamus,A84D10,2
TSPaAm,15655,mantle zone of TSPaA,B0754D,Hypothalamus,A84D10,2
TSPaAp,15656,periventricular stratum of TSPaA,B0754D,Hypothalamus,A84D10,2
SCHp,15657,suprachiasmatic nucleus- periventricular part,B0754D,Hypothalamus,A84D10,2
TSPaAi,15659,intermediate stratum of TSPaA,B0754D,Hypothalamus,A84D10,2
SCH,15660,suprachiasmatic nucleus,B0754D,Hypothalamus,A84D10,2
AH,15662,anterior hypothalamic nucleus,B0754D,Hypothalamus,A84D10,2
TSPaAs,15663,superficial stratum of TSPaA,B0754D,Hypothalamus,A84D10,2
SCHs,15664,shell of SCH,B0754D,Hypothalamus,A84D10,2
THyB,15666,basal part of terminal hypothalamus,86522E,Hypothalamus,A84D10,2
THyB-D,15667,dorsal part of THyB,86522E,Hypothalamus,A84D10,2
THyB-Dv,15668,ventricular zone of THyB-D,86522E,Hypothalamus,A84D10,2
THyB-Dm,15669,mantle zone of THyB-D,975C34,Hypothalamus,A84D10,2
THyB-Dp,15670,periventricular stratum of THyB-D,975C34,Hypothalamus,A84D10,2
ABasp,15671,periventricular part of the anterobasal nucleus,975C34,Hypothalamus,A84D10,2
VMHp,15672,periventricular domain associated to VMH,975C34,Hypothalamus,A84D10,2
THyB-Di,15673,intermediate stratum of THyB-D,975C34,Hypothalamus,A84D10,2
ABasc,15674,core part of the anterobasal nucleus,975C34,Hypothalamus,A84D10,2
VMH,15675,ventromedial hypothalamic nucleus,975C34,Hypothalamus,A84D10,2
VMHdm,15676,dorsomedial part of VMH,975C34,Hypothalamus,A84D10,2
VMHce,15677,central part of VMH,975C34,Hypothalamus,A84D10,2
VMHvl,15678,ventrolateral part of VMH,975C34,Hypothalamus,A84D10,2
VMHsh,15679,shell of VMH,975C34,Hypothalamus,A84D10,2
THyB-Ds,15680,superficial stratum of THyB-D,975C34,Hypothalamus,A84D10,2
ABass,15681,shell part of the anterobasal nucleus,975C34,Hypothalamus,A84D10,2
SbO,15682,suboptic nucleus,975C34,Hypothalamus,A84D10,2
Tu,15683,tuberal nucleus,975C34,Hypothalamus,A84D10,2
THyB-I,15684,intermediate part of THyB,86522E,Hypothalamus,A84D10,2
THyB-Iv,15685,ventricular zone of THyB-I,86522E,Hypothalamus,A84D10,2
THyB-Im,15686,mantle zone of THyB-I,975C34,Hypothalamus,A84D10,2
THyB-Ip,15687,periventricular stratum of THyB-I,975C34,Hypothalamus,A84D10,2
Arcp,15688,periventricular part of the arcuate nucleus,975C34,Hypothalamus,A84D10,2
ME,15689,median eminence,975C34,Hypothalamus,A84D10,2
Inf,15690,infundibulum,975C34,Hypothalamus,A84D10,2
T-DMHp,15692,periventricular domain associated to T-DMH,975C34,Hypothalamus,A84D10,2
THyB-Ii,15693,intermediate stratum of THyB-I,975C34,Hypothalamus,A84D10,2
T-DMH,15694,dorsomedial nucleus- terminal part,975C34,Hypothalamus,A84D10,2
T-DMHc,15695,core of T-DMH,975C34,Hypothalamus,A84D10,2
T-DMHs,15696,shell of T-DMH,975C34,Hypothalamus,A84D10,2
Arci,15697,intermediate part of the arcuate nucleus,975C34,Hypothalamus,A84D10,2
PMV,15698,ventral premammillary nucleus (migrated),975C34,Hypothalamus,A84D10,2
THyB-Is,15699,superficial stratum of THyB-I,975C34,Hypothalamus,A84D10,2
Arcs,15700,superficial part of arcuate nucleus,975C34,Hypothalamus,A84D10,2
MTu,15701,medial tuberal nucleus,975C34,Hypothalamus,A84D10,2
THyB-V,15702,ventral part of THyB,86522E,Hypothalamus,A84D10,2
THyB-Vv,15703,ventricular zone of THyB-V,86522E,Hypothalamus,A84D10,2
THyB-Vm,15705,mantle zone of THyB-V,975C34,Hypothalamus,A84D10,2
THyB-Vi,15708,intermediate stratum of THyB-V,975C34,Hypothalamus,A84D10,2
VTMi,15709,ventral tuberomammillary nucleus- intermediate part (histaminergic),975C34,Hypothalamus,A84D10,2
THyB-Vs,15710,superficial stratum of THyB-V,975C34,Hypothalamus,A84D10,2
VTMs,15711,ventral tuberomammillary nucleus- superficial part (histaminergic),975C34,Hypothalamus,A84D10,2
THyB-P,15712,perimammillary part of THyB,86522E,Hypothalamus,A84D10,2
THyB-Pv,15713,ventricular zone of THyB-P,86522E,Hypothalamus,A84D10,2
THyB-Pm,15715,mantle zone of THyB-P,975C34,Hypothalamus,A84D10,2
THyB-Pp,15716,periventricular stratum of THyB-P,975C34,Hypothalamus,A84D10,2
PPeM,15717,periventricular perimammillary area,975C34,Hypothalamus,A84D10,2
THyB-Pi,15718,intermediate stratum of THyB-P,975C34,Hypothalamus,A84D10,2
PMD,15719,dorsal premammillary nucleus,975C34,Hypothalamus,A84D10,2
THyB-Ps,15720,superficial stratum of THyB-P,975C34,Hypothalamus,A84D10,2
Te,15721,terete nucleus,975C34,Hypothalamus,A84D10,2
THyB-M,15722,mammillary part of THyB,86522E,Hypothalamus,A84D10,2
Mam,15723,mammillary area,86522E,Hypothalamus,A84D10,2
Mamv,15724,ventricular zone of Mam,86522E,Hypothalamus,A84D10,2
Mamm,15725,mantle zone of Mam,975C34,Hypothalamus,A84D10,2
Mamp,15726,periventricular stratum of Mam,975C34,Hypothalamus,A84D10,2
MnM,15727,median mammillary nucleus,975C34,Hypothalamus,A84D10,2
Mami,15728,intermediate stratum of Mam,975C34,Hypothalamus,A84D10,2
MM,15729,medial mammillary nucleus,975C34,Hypothalamus,A84D10,2
MMm,15730,medial part of MM,975C34,Hypothalamus,A84D10,2
MMl,15731,lateral part of MM,975C34,Hypothalamus,A84D10,2
Mams,15733,superficial stratum of Mam,975C34,Hypothalamus,A84D10,2
LM,15734,lateral mammillary nucleus,975C34,Hypothalamus,A84D10,2
VTMm,15735,ventral tuberomammillary nucleus- migrated part (histaminergic),975C34,Hypothalamus,A84D10,2
THyF,15736,floor of terminal hypothalamus,6D4226,Hypothalamus,A84D10,2
PHyB,16247,basal peduncular hypothalamus,B25B46,Rest Forebrain,C86A39,2
PHyB-Dv,16249,ventricular zone of PHyB-D,B25B46,Rest Forebrain,C86A39,2
PHyB-Dp,16251,periventricular stratum of PHyB-D,C9674E,Rest Forebrain,C86A39,2
PHyB-I,16259,intermediate part of PHyB,B25B46,Rest Forebrain,C86A39,2
PHyB-Im,16261,mantle zone of PHyB-I,C9674E,Rest Forebrain,C86A39,2
PHyB-Ip,16262,periventricular stratum of PHyB-I,C9674E,Rest Forebrain,C86A39,2
PHyB-Ii,16264,intermediate stratum of PHyB-I,C9674E,Rest Forebrain,C86A39,2
LBLH,16268,lower basal lateral hypothalamic area,C9674E,Rest Forebrain,C86A39,2
LBPeF,16269,lower basal perifornical nucleus,C9674E,Rest Forebrain,C86A39,2
PHyB-Is,16270,superficial stratum of PHyB-I,C9674E,Rest Forebrain,C86A39,2
LTu,16271,lateral tuberal nucleus,C9674E,Rest Forebrain,C86A39,2
PHyB-V,16274,ventral part of PHyB,B25B46,Rest Forebrain,C86A39,2
