STRUCTURE,STRUCTUREID,STRUCTUREFULLNAME,STRUCTURECOLOR,STRUCTUREREGION,STRUCTUREREGIONCOLOR,CLUSTER
IML,17706,intermediolateral nucleus (lateral horn),D4CCC0,Spinal Cord,EBE3D5,1
LDCom,17707,laterodorsal commissural nucleus,D4CCC0,Spinal Cord,EBE3D5,1
SPSy,17708,sacral parasympathetic preganglionic neurons,D4CCC0,Spinal Cord,EBE3D5,1
SpBLs,17709,superficial stratum of SpBL,D4CCC0,Spinal Cord,EBE3D5,1
SpBI,17710,intermediate part of SpB,D4CCC0,Spinal Cord,EBE3D5,1
SpBIv,17711,ventricular zone of SpBI,D4CCC0,Spinal Cord,EBE3D5,1
SpBIm,17712,mantle zone of SpBI,D4CCC0,Spinal Cord,EBE3D5,1
SpBIp,17713,periventricular stratum of SpBI,D4CCC0,Spinal Cord,EBE3D5,1
BI10Sp,17714,basal intermediate part of Rexed's layer 10,D4CCC0,Spinal Cord,EBE3D5,1
SpBIi,17715,intermediate stratum of SpBI,D4CCC0,Spinal Cord,EBE3D5,1
9Sp,17716,Rexed's layer 9,D4CCC0,Spinal Cord,EBE3D5,1
MC,17717,motoneuron columns,D4CCC0,Spinal Cord,EBE3D5,1
MMC,17718,medial motoneuron columns,D4CCC0,Spinal Cord,EBE3D5,1
LMC,17719,lateral motoneuron columns,D4CCC0,Spinal Cord,EBE3D5,1
CMC,17720,central motoneuron columns,D4CCC0,Spinal Cord,EBE3D5,1
Onuf,17721,Onuf's nucleus,D4CCC0,Spinal Cord,EBE3D5,1
OnufM,17722,medial (anal) part of Onuf's nucleus,D4CCC0,Spinal Cord,EBE3D5,1
OnufL,17723,lateral (urethral) part of Onuf's nucleus,D4CCC0,Spinal Cord,EBE3D5,1
SpBIs,17724,superficial stratum of SpBI,D4CCC0,Spinal Cord,EBE3D5,1
SpBM,17725,medial part of SpB,D4CCC0,Spinal Cord,EBE3D5,1
SpBMv,17726,ventricular zone of SpBM,D4CCC0,Spinal Cord,EBE3D5,1
SpBMm,17727,mantle zone of SpBM,D4CCC0,Spinal Cord,EBE3D5,1
SpBMp,17728,periventricular stratum of SpBM,D4CCC0,Spinal Cord,EBE3D5,1
BM10Sp,17729,basal medial part of Rexed's layer 10,D4CCC0,Spinal Cord,EBE3D5,1
SpBMi,17730,intermediate stratum of SpBM,D4CCC0,Spinal Cord,EBE3D5,1
8Sp,17731,Rexed's layer 8,D4CCC0,Spinal Cord,EBE3D5,1
VHMI,17732,ventral horn medial interneurons,D4CCC0,Spinal Cord,EBE3D5,1
SpBMs,17733,superficial stratum of SpBM,D4CCC0,Spinal Cord,EBE3D5,1
SpF,17734,SpC floor plate,D4CCC0,Spinal Cord,EBE3D5,1
SpFv,112892439,ventricular zone of SpF,D4CCC0,Spinal Cord,EBE3D5,1
SpFm,112892441,mantle zone of SpF,D4CCC0,Spinal Cord,EBE3D5,1
SpFp,112892443,periventricular stratum of SpF,D4CCC0,Spinal Cord,EBE3D5,1
SpFi,112892445,intermediate stratum of SpF,D4CCC0,Spinal Cord,EBE3D5,1
SpFs,112892447,superficial stratum of SpF,D4CCC0,Spinal Cord,EBE3D5,1
 ,, , , , ,
MH,17352,medullary hindbrain (medulla),12D9B9,Rest Hindbrain,EA37FF,2
r7,17353,rhombomere 7,12D9B9,Rest Hindbrain,EA37FF,2
r7R,17354,r7 roof plate,6EE8D4,Rest Hindbrain,EA37FF,2
r7A,17355,r7 alar plate,12D9B9,Rest Hindbrain,EA37FF,2
r7Av,111220806,ventricular zone of r7A,12D9B9,Rest Hindbrain,EA37FF,2
r7Am,111220808,mantle zone of r7A,56E4CD,Rest Hindbrain,EA37FF,2
r7Co,17356,r7 part of cochlear column,12D9B9,Rest Hindbrain,EA37FF,2
r7Cov,17357,ventricular zone of r7Co,12D9B9,Rest Hindbrain,EA37FF,2
r7Com,17358,mantle zone of r7Co,56E4CD,Rest Hindbrain,EA37FF,2
r7Cop,111220810,periventricular stratum of r7Co,56E4CD,Rest Hindbrain,EA37FF,2
r7DC,17359,r7 part of the dorsal cochlear nucleus,56E4CD,Rest Hindbrain,EA37FF,2
r7Coi,111220812,intermediate stratum of r7Co,56E4CD,Rest Hindbrain,EA37FF,2
r7Cos,111220814,superficial stratum of r7Co,56E4CD,Rest Hindbrain,EA37FF,2
r7PVC,17360,r7 part of the posteroventral cochlear nucleus,56E4CD,Rest Hindbrain,EA37FF,2
r7Ve,17361,r7 part of the vestibular column,12D9B9,Rest Hindbrain,EA37FF,2
r7Vev,17362,ventricular zone of r7Ve,12D9B9,Rest Hindbrain,EA37FF,2
r7Vem,17363,mantle zone of r7Ve,56E4CD,Rest Hindbrain,EA37FF,2
r7Vep,111220816,periventricular stratum of r7Ve,56E4CD,Rest Hindbrain,EA37FF,2
r7MVePC,17365,r7 part of parvocellular medial vestibular nucleus,56E4CD,Rest Hindbrain,EA37FF,2
r7Vei,111220818,intermediate stratum of r7Ve,56E4CD,Rest Hindbrain,EA37FF,2
r7Ves,111220820,superficial stratum of r7Ve,56E4CD,Rest Hindbrain,EA37FF,2
r7SpVe,17364,r7 part of spinal vestibular nucleus,56E4CD,Rest Hindbrain,EA37FF,2
r7Tr,17366,r7 part of the trigeminal column,12D9B9,Rest Hindbrain,EA37FF,2
r7Trv,17367,ventricular zone of r7Tr,12D9B9,Rest Hindbrain,EA37FF,2
r7Trm,17368,mantle zone of r7Tr,56E4CD,Rest Hindbrain,EA37FF,2
r7Trp,111220822,periventricular stratum of r7Tr,56E4CD,Rest Hindbrain,EA37FF,2
r7Sol,17371,r7 (gustatory) part of solitary complex,56E4CD,Rest Hindbrain,EA37FF,2
r7Tri,111220824,intermediate stratum of r7Tr,56E4CD,Rest Hindbrain,EA37FF,2
r7-5Tr,17370,r7 part of trigeminal transition zone,56E4CD,Rest Hindbrain,EA37FF,2
r7DPCRt,17372,r7 part of dorsal parvicellular reticular formation,56E4CD,Rest Hindbrain,EA37FF,2
r7Trs,111220826,superficial stratum of r7Tr,56E4CD,Rest Hindbrain,EA37FF,2
r7Sp5I,17369,r7 part of spinal trigeminal nucleus- interpolar part,56E4CD,Rest Hindbrain,EA37FF,2
r7Lim,17373,liminal part of the r7 alar plate,12D9B9,Rest Hindbrain,EA37FF,2
r7Limv,17374,ventricular zone of r7Lim,12D9B9,Rest Hindbrain,EA37FF,2
r7Limm,17375,mantle zone of r7Lim,56E4CD,Rest Hindbrain,EA37FF,2
r7Limp,111220828,periventricular stratum of r7Lim,56E4CD,Rest Hindbrain,EA37FF,2
r7LimCG,17376,r7 liminal central gray,56E4CD,Rest Hindbrain,EA37FF,2
r7-10M,17377,vagal motor nucleus,56E4CD,Rest Hindbrain,EA37FF,2
r7Limi,111220830,intermediate stratum of r7Lim,56E4CD,Rest Hindbrain,EA37FF,2
r7VPCRt,17379,r7 part of ventral parvicellular reticular formation,56E4CD,Rest Hindbrain,EA37FF,2
r7Lims,111220832,superficial stratum of r7Lim,56E4CD,Rest Hindbrain,EA37FF,2
r7Amb,17378,r7 portion of ambiguous motor nucleus,56E4CD,Rest Hindbrain,EA37FF,2
r7B,17380,r7 basal plate,0EAE94,Rest Hindbrain,EA37FF,2
r7Bv,111220834,ventricular zone of r7B,0EAE94,Rest Hindbrain,EA37FF,2
r7Bm,111220836,mantle zone of r7B,10C3A7,Rest Hindbrain,EA37FF,2
r7BL,17381,lateral part of r7B,0EAE94,Rest Hindbrain,EA37FF,2
r7BLv,17382,ventricular zone of r7BL,0EAE94,Rest Hindbrain,EA37FF,2
r7BLm,17383,mantle zone of r7BL,10C3A7,Rest Hindbrain,EA37FF,2
r7BLp,17384,periventricular stratum of r7BL,10C3A7,Rest Hindbrain,EA37FF,2
r7BLIZ,17385,r7 part of the basolateral intermediate zone,10C3A7,Rest Hindbrain,EA37FF,2
r7BLi,17386,intermediate stratum of r7BL,10C3A7,Rest Hindbrain,EA37FF,2
r7BLRt,17387,r7 part of basolateral reticular formation,10C3A7,Rest Hindbrain,EA37FF,2
r7BLs,17388,superficial stratum of r7BL,10C3A7,Rest Hindbrain,EA37FF,2
RVL,17389,rostral ventrolateral reticular area,10C3A7,Rest Hindbrain,EA37FF,2
r7BI,17390,intermediate part of r7B,0EAE94,Rest Hindbrain,EA37FF,2
r7BIv,17391,ventricular zone of r7BI,0EAE94,Rest Hindbrain,EA37FF,2
r7BIm,17392,mantle zone of r7BI,10C3A7,Rest Hindbrain,EA37FF,2
r7BIp,17393,periventricular stratum of r7BI,10C3A7,Rest Hindbrain,EA37FF,2
r7BIIZ,17394,r7 part of the basointermediate intermediate zone,10C3A7,Rest Hindbrain,EA37FF,2
r7BIi,17395,intermediate stratum of r7BI,10C3A7,Rest Hindbrain,EA37FF,2
r7BIRt,17396,r7 part of the basointermediate reticular formation,10C3A7,Rest Hindbrain,EA37FF,2
r7BIs,17397,superficial stratum of r7BI,10C3A7,Rest Hindbrain,EA37FF,2
r7PGi,17398,r7 part of paragigantocellular nucleus,10C3A7,Rest Hindbrain,EA37FF,2
r7RVM,17399,r7 part of rostral ventromedial reticular area,10C3A7,Rest Hindbrain,EA37FF,2
r7BM,17400,medial part of r7B,0EAE94,Rest Hindbrain,EA37FF,2
r7BMv,17401,ventricular zone of r7BM,0EAE94,Rest Hindbrain,EA37FF,2
r7BMm,17402,mantle zone of r7BM,10C3A7,Rest Hindbrain,EA37FF,2
r7BMp,17403,periventricular stratum of r7BM,10C3A7,Rest Hindbrain,EA37FF,2
r7Pr,17404,r7 part of nucleus prepositus,10C3A7,Rest Hindbrain,EA37FF,2
r7-12M,17405,r7 portion of the hypoglossal motor nucleus,10C3A7,Rest Hindbrain,EA37FF,2
r7Ro,17406,r7 part of the nucleus of Roller,10C3A7,Rest Hindbrain,EA37FF,2
r7BMi,17407,intermediate stratum of r7BM,10C3A7,Rest Hindbrain,EA37FF,2
r7-RO,17408,r7 raphe obscurus cell population,10C3A7,Rest Hindbrain,EA37FF,2
r7BMRt,17409,r7 part of basomedial reticular formation,10C3A7,Rest Hindbrain,EA37FF,2
r7Gi,17410,r7 part of gigantocellular reticular area,10C3A7,Rest Hindbrain,EA37FF,2
r7GiV,17411,r7 part of ventral gigangocellular reticular area,10C3A7,Rest Hindbrain,EA37FF,2
r7BMs,17412,superficial stratum of r7BM,10C3A7,Rest Hindbrain,EA37FF,2
r7-RP,17413,r7 raphe pallidus cell population,10C3A7,Rest Hindbrain,EA37FF,2
r7PPy,17414,r7 part of parapyramidal nucleus,10C3A7,Rest Hindbrain,EA37FF,2
r7F,17415,r7 floor plate,0D9882,Rest Hindbrain,EA37FF,2
r7Fv,112892383,ventricular zone of r7F,098F7A,Rest Hindbrain,EA37FF,2
r7Fm,112892385,mantle zone of r7F,0EAE94,Rest Hindbrain,EA37FF,2
r7Fp,112892387,periventricular stratum of r7F,0EAE94,Rest Hindbrain,EA37FF,2
r7Fi,112892389,intermediate stratum of r7F,0EAE94,Rest Hindbrain,EA37FF,2
r7Fs,112892391,superficial stratum of r7F,0EAE94,Rest Hindbrain,EA37FF,2
r8,17416,rhombomere 8,4FD9BF,Rest Hindbrain,EA37FF,2
r8R,17417,r8 roof plate,81E4D1,Rest Hindbrain,EA37FF,2
r8A,17418,r8 alar plate,4FD9BF,Rest Hindbrain,EA37FF,2
r8Av,111220838,ventricular zone of r8A,4FD9BF,Rest Hindbrain,EA37FF,2
r8Am,111220840,mantle zone of r8A,79E2CE,Rest Hindbrain,EA37FF,2
r8Ve,17419,r8 part of the vestibular column,4FD9BF,Rest Hindbrain,EA37FF,2
r8Vev,17420,ventricular zone of r8Ve,4FD9BF,Rest Hindbrain,EA37FF,2
r8Vem,17421,mantle zone of r8Ve,79E2CE,Rest Hindbrain,EA37FF,2
r8Vep,111220842,periventricular stratum of r8Ve,79E2CE,Rest Hindbrain,EA37FF,2
r8MVePC,17423,r8 part of parvocellular medial vestibular nucleus,79E2CE,Rest Hindbrain,EA37FF,2
r8Vei,111220844,intermediate stratum of r8Ve,79E2CE,Rest Hindbrain,EA37FF,2
r8SpVe,17422,r8 part of spinal vestibular nucleus,79E2CE,Rest Hindbrain,EA37FF,2
r8Ves,111220846,superficial stratum of r8Ve,79E2CE,Rest Hindbrain,EA37FF,2
r8Tr,17424,r8 part of the trigeminal column,4FD9BF,Rest Hindbrain,EA37FF,2
r8Trv,17425,ventricular zone of r8Tr,4FD9BF,Rest Hindbrain,EA37FF,2
r8Trm,17426,mantle zone of r8Tr,79E2CE,Rest Hindbrain,EA37FF,2
r8Trp,111220848,periventricular stratum of r8Tr,79E2CE,Rest Hindbrain,EA37FF,2
r8Sol,17429,r8 (gustatory) part of solitary complex,79E2CE,Rest Hindbrain,EA37FF,2
r8Tri,111220850,intermediate stratum of r8Tr,79E2CE,Rest Hindbrain,EA37FF,2
r8-5Tr,17428,r8 part of trigeminal transition zone,79E2CE,Rest Hindbrain,EA37FF,2
r8DPCRt,17430,r8 part of dorsal parvicellular reticular formation,79E2CE,Rest Hindbrain,EA37FF,2
r8Trs,111220852,superficial stratum of r8Tr,79E2CE,Rest Hindbrain,EA37FF,2
r8Sp5I,17427,r8 part of spinal trigeminal nucleus- interpolar part,79E2CE,Rest Hindbrain,EA37FF,2
r8Lim,17431,liminal part of the r8 alar plate,4FD9BF,Rest Hindbrain,EA37FF,2
r8Limv,17432,ventricular zone of r8Lim,4FD9BF,Rest Hindbrain,EA37FF,2
r8Limm,17433,mantle zone of r8Lim,79E2CE,Rest Hindbrain,EA37FF,2
r8Limp,111220854,periventricular stratum of r8Lim,79E2CE,Rest Hindbrain,EA37FF,2
r8-10M,17435,r8 portion of vagal motor nucleus,79E2CE,Rest Hindbrain,EA37FF,2
r8LimCG,112892393,r8 liminar central gray,79E2CE,Rest Hindbrain,EA37FF,2
r8Limi,111220856,intermediate stratum of r8Lim,79E2CE,Rest Hindbrain,EA37FF,2
r8VPCRt,17434,r8 part of ventral parvicellular reticular formation,79E2CE,Rest Hindbrain,EA37FF,2
r8Lims,111220858,superficial stratum of r8Lim,79E2CE,Rest Hindbrain,EA37FF,2
r8Amb,17436,r8 portion of ambiguous motor nucleus,79E2CE,Rest Hindbrain,EA37FF,2
r8B,17437,r8 basal plate,3FAE99,Rest Hindbrain,EA37FF,2
r8Bv,111220860,ventricular zone of r8B,3FAE99,Rest Hindbrain,EA37FF,2
r8Bm,111220862,mantle zone of r8B,47C3AC,Rest Hindbrain,EA37FF,2
r8BL,17438,lateral part of r8B,3FAE99,Rest Hindbrain,EA37FF,2
r8BLv,17439,ventricular zone of r8BL,3FAE99,Rest Hindbrain,EA37FF,2
r8BLm,17440,mantle zone of r8BL,47C3AC,Rest Hindbrain,EA37FF,2
r8BLp,17441,periventricular stratum of r8BL,47C3AC,Rest Hindbrain,EA37FF,2
r8-BLIZ,17442,r8 part of basolateral intermediate zone,47C3AC,Rest Hindbrain,EA37FF,2
r8BLi,17443,intermediate stratum of r8BL,47C3AC,Rest Hindbrain,EA37FF,2
r8BLRt,17444,r8 part of basolateral reticular formation,47C3AC,Rest Hindbrain,EA37FF,2
r8BLs,17445,superficial stratum of r8BL,47C3AC,Rest Hindbrain,EA37FF,2
r8LRt,17446,r8 part of lateral reticular nucleus,47C3AC,Rest Hindbrain,EA37FF,2
r8LRtPC,17447,parvocellular part of r8LRt,47C3AC,Rest Hindbrain,EA37FF,2
r8Li,17448,r8 part of linear nucleus,47C3AC,Rest Hindbrain,EA37FF,2
r8BI,17449,intermediate part of r8B,3FAE99,Rest Hindbrain,EA37FF,2
r8BIv,17450,ventricular zone of r8BI,3FAE99,Rest Hindbrain,EA37FF,2
r8BIm,17451,mantle zone of r8BI,47C3AC,Rest Hindbrain,EA37FF,2
r8BIp,17452,periventricular stratum of r8BI,47C3AC,Rest Hindbrain,EA37FF,2
r8BIIZ,17453,r8 part of basointermediate intermediate zone,47C3AC,Rest Hindbrain,EA37FF,2
r8IS,17454,r8 part of nucleus intercalatus Staderini,47C3AC,Rest Hindbrain,EA37FF,2
r8BIi,17455,intermediate stratum of r8BI,47C3AC,Rest Hindbrain,EA37FF,2
r8BIRt,17456,r8 part of basointermediate reticular formation,47C3AC,Rest Hindbrain,EA37FF,2
r8BIs,17457,superficial stratum of r8BI,47C3AC,Rest Hindbrain,EA37FF,2
r8RVM,17458,r8 part of rostral ventromedial reticular area,47C3AC,Rest Hindbrain,EA37FF,2
r8PGi,17459,r8 part of the paragigantocellular nucleus,47C3AC,Rest Hindbrain,EA37FF,2
r8BM,17460,medial part of r8B,3FAE99,Rest Hindbrain,EA37FF,2
r8BMv,17461,ventricular zone of r8BM,3FAE99,Rest Hindbrain,EA37FF,2
r8BMm,17462,mantle zone of r8BM,47C3AC,Rest Hindbrain,EA37FF,2
r8BMp,17463,periventricular stratum of r8BM,47C3AC,Rest Hindbrain,EA37FF,2
r8Pr,17464,r8 part of nucleus prepositus,47C3AC,Rest Hindbrain,EA37FF,2
r8-12M,17465,r8 portion of the hypoglossal motor nucleus,47C3AC,Rest Hindbrain,EA37FF,2
r8Ro,17466,r8 part of nucleus of Roller,47C3AC,Rest Hindbrain,EA37FF,2
r8BMi,17467,intermediate stratum of r8BM,47C3AC,Rest Hindbrain,EA37FF,2
r8-RO,17468,r8 raphe obscurus cell population,47C3AC,Rest Hindbrain,EA37FF,2
r8BMRt,17469,r8 part of basomedial reticular formation,47C3AC,Rest Hindbrain,EA37FF,2
r8Gi,17470,r8 part of gigantocellular reticular area,47C3AC,Rest Hindbrain,EA37FF,2
r8GiV,17471,r8 part of ventral gigangocellular reticular area,47C3AC,Rest Hindbrain,EA37FF,2
r8BMs,17472,superficial stratum of r8BM,47C3AC,Rest Hindbrain,EA37FF,2
r8-RP,17473,r8 raphe pallidus cell population,47C3AC,Rest Hindbrain,EA37FF,2
r8-IO,17474,r8 part of inferior olive,47C3AC,Rest Hindbrain,EA37FF,2
r8F,17475,r8 floor plate,379886,Rest Hindbrain,EA37FF,2
r8Fv,112892395,ventricular zone of r8F,2F8776,Rest Hindbrain,EA37FF,2
r8Fm,112892397,mantle zone of r8F,3FAE99,Rest Hindbrain,EA37FF,2
r8Fp,112892399,periventricular stratum of r8F,3FAE99,Rest Hindbrain,EA37FF,2
r8Fi,112892401,intermediate stratum of r8F,3FAE99,Rest Hindbrain,EA37FF,2
r8Fs,112892403,superficial stratum of r8F,3FAE99,Rest Hindbrain,EA37FF,2
r9,17476,rhombomere 9,75D9BF,Rest Hindbrain,EA37FF,2
r9R,17477,r9 roof plate,AAE7D7,Rest Hindbrain,EA37FF,2
r9A,17478,r9 alar plate,75D9BF,Rest Hindbrain,EA37FF,2
r9Av,111220864,ventricular zone of r9A,75D9BF,Rest Hindbrain,EA37FF,2
r9Am,111220866,mantle zone of r9A,96E2CE,Rest Hindbrain,EA37FF,2
r9Ve,17479,r9 part of the vestibular column,75D9BF,Rest Hindbrain,EA37FF,2
r9Vev,17480,ventricular zone of r9Ve,75D9BF,Rest Hindbrain,EA37FF,2
r9Vem,17481,mantle zone of r9Ve,96E2CE,Rest Hindbrain,EA37FF,2
r9Vep,111220868,periventricular stratum of r9Ve,96E2CE,Rest Hindbrain,EA37FF,2
r9MVePC,17483,r9 part of parvocellular medial vestibular nucleus,96E2CE,Rest Hindbrain,EA37FF,2
r9Vei,111220870,intermediate stratum of r9Ve,96E2CE,Rest Hindbrain,EA37FF,2
r9SpVe,17482,r9 part of spinal vestibular nucleus,96E2CE,Rest Hindbrain,EA37FF,2
r9Ves,111220872,superficial stratum of r9Ve,96E2CE,Rest Hindbrain,EA37FF,2
r9ECu,17484,r9 part of external cuneate nucleus,96E2CE,Rest Hindbrain,EA37FF,2
r9Tr,17485,r9 part of the trigeminal column,75D9BF,Rest Hindbrain,EA37FF,2
r9Trv,17486,ventricular zone of r9Tr,75D9BF,Rest Hindbrain,EA37FF,2
r9Trm,17487,mantle zone of r9Tr,96E2CE,Rest Hindbrain,EA37FF,2
r9Trp,111220874,periventricular stratum of r9Tr,96E2CE,Rest Hindbrain,EA37FF,2
r9Sol,17490,r9 (gustatory) part of solitary complex,96E2CE,Rest Hindbrain,EA37FF,2
r9Tri,111220876,intermediate stratum of r9Tr,96E2CE,Rest Hindbrain,EA37FF,2
r9-5Tr,17489,r9 part of trigeminal transition zone,96E2CE,Rest Hindbrain,EA37FF,2
r9DPCRt,17493,r9 part of dorsal parvicellular reticular formation,96E2CE,Rest Hindbrain,EA37FF,2
r9Trs,111220878,superficial stratum of r9Tr,96E2CE,Rest Hindbrain,EA37FF,2
r9Sp5I,17488,r9 part of spinal trigeminal nucleus- interpolar part,96E2CE,Rest Hindbrain,EA37FF,2
r9Gr,17491,r9 part of nucleus gracilis,96E2CE,Rest Hindbrain,EA37FF,2
r9Cu,17492,r9 part of nucleus cuneatus,96E2CE,Rest Hindbrain,EA37FF,2
r9Lim,17494,liminal part of the r9 alar plate,75D9BF,Rest Hindbrain,EA37FF,2
r9Limv,17495,ventricular zone of r9Lim,75D9BF,Rest Hindbrain,EA37FF,2
r9Limm,17496,mantle zone of r9Lim,96E2CE,Rest Hindbrain,EA37FF,2
r9Limp,111220880,periventricular stratum of r9Lim,96E2CE,Rest Hindbrain,EA37FF,2
r9-10M,17498,r9 portion of vagal motor nucleus (postmigratory),96E2CE,Rest Hindbrain,EA37FF,2
r9LimCG,112892405,r9 liminar central gray,96E2CE,Rest Hindbrain,EA37FF,2
r9Limi,111220882,intermediate stratum of r9Lim,96E2CE,Rest Hindbrain,EA37FF,2
r9VPCRt,17497,r9 part of ventral parvicellular reticular formation,96E2CE,Rest Hindbrain,EA37FF,2
r9Lims,111220884,superficial stratum of r9Lim,96E2CE,Rest Hindbrain,EA37FF,2
r9Amb,17499,r9 portion of ambiguous motor nucleus (postmigratory),96E2CE,Rest Hindbrain,EA37FF,2
r9B,17500,r9 basal plate,5EAE99,Rest Hindbrain,EA37FF,2
r9Bv,111220886,ventricular zone of r9B,5EAE99,Rest Hindbrain,EA37FF,2
r9Bm,111220888,mantle zone of r9B,69C3AC,Rest Hindbrain,EA37FF,2
r9BL,17501,lateral part of r9B,5EAE99,Rest Hindbrain,EA37FF,2
